0.585,4.16027,1.52019,1.48213,1.48213
0.59,4.16764,1.51021,1.46386,1.46386
0.595,4.17491,1.50011,1.44575,1.44575
0.6,4.1821,1.48988,1.42779,1.42779
0.605,4.18919,1.47954,1.40999,1.40999
0.61,4.1962,1.46907,1.39235,1.39235
0.615,4.20311,1.45849,1.37485,1.37485
0.62,4.20995,1.44779,1.35751,1.35751
0.625,4.21669,1.43698,1.34032,1.34032
0.63,4.22335,1.42606,1.32329,1.32329
0.635,4.22992,1.41502,1.3064,1.3064
0.64,4.23641,1.40388,1.28967,1.28967
0.645,4.24282,1.39264,1.27308,1.27308
0.65,4.24914,1.38129,1.25665,1.25665
0.655,4.25539,1.36984,1.24037,1.24037
0.66,4.26155,1.35829,1.22424,1.22424
0.665,4.26763,1.34664,1.20826,1.20826
0.67,4.27363,1.3349,1.19243,1.19243
0.675,4.27955,1.32306,1.17675,1.17675
0.68,4.2854,1.31113,1.16122,1.16122
0.685,4.29117,1.29911,1.14584,1.14584
0.69,4.29686,1.287,1.13061,1.13061
0.695,4.30247,1.2748,1.11553,1.11553
0.7,4.30801,1.26252,1.1006,1.1006
0.705,4.31348,1.25016,1.08582,1.08582
0.71,4.31887,1.23771,1.07119,1.07119
0.715,4.32419,1.22518,1.05671,1.05671
0.72,4.32944,1.21257,1.04237,1.04237
0.725,4.33461,1.19989,1.02819,1.02819
0.73,4.33972,1.18713,1.01416,1.01416
0.735,4.34476,1.1743,1.00027,1.00027
0.74,4.34972,1.16139,0.986535,0.986535
0.745,4.35462,1.14841,0.972946,0.972946
0.75,4.35945,1.13537,0.959505,0.959505
0.755,4.36422,1.12226,0.946211,0.946211
0.76,4.36892,1.10908,0.933064,0.933064
0.765,4.37355,1.09583,0.920063,0.920063
0.77,4.37812,1.08252,0.907208,0.907208
0.775,4.38262,1.06915,0.894499,0.894499
0.78,4.38706,1.05572,0.881934,0.881934
0.785,4.39144,1.04223,0.869514,0.869514
0.79,4.39576,1.02868,0.857238,0.857238
0.795,4.40001,1.01508,0.845105,0.845105
0.8,4.40421,1.00142,0.833114,0.833114
0.805,4.40834,0.987705,0.821265,0.821265
0.81,4.41242,0.973938,0.809558,0.809558
0.815,4.41644,0.960119,0.79799,0.79799
0.82,4.4204,0.946249,0.786563,0.786563
0.825,4.42431,0.93233,0.775274,0.775274
0.83,4.42815,0.918363,0.764123,0.764123
0.835,4.43195,0.904349,0.753109,0.753109
0.84,4.43569,0.890289,0.742231,0.742231
0.845,4.43937,0.876183,0.731489,0.731489
0.85,4.443,0.862034,0.720882,0.720882
0.855,4.44658,0.847843,0.710408,0.710408
0.86,4.45011,0.833609,0.700067,0.700067
0.865,4.45358,0.819335,0.689857,0.689857
0.87,4.457,0.805021,0.679778,0.679778
0.875,4.46038,0.790668,0.669829,0.669829
0.88,4.4637,0.776277,0.660008,0.660008
0.885,4.46698,0.761849,0.650315,0.650315
0.89,4.47021,0.747385,0.640749,0.640749
0.895,4.47339,0.732886,0.631308,0.631308
0.9,4.47652,0.718352,0.621991,0.621991
0.905,4.47961,0.703785,0.612798,0.612798
0.91,4.48265,0.689185,0.603727,0.603727
0.915,4.48564,0.674554,0.594777,0.594777
0.92,4.4886,0.659891,0.585948,0.585948
0.925,4.4915,0.645198,0.577237,0.577237
0.93,4.49437,0.630476,0.568644,0.568644
0.935,4.49719,0.615724,0.560167,0.560167
0.94,4.49997,0.600945,0.551806,0.551806
0.945,4.50271,0.586138,0.543559,0.543559
0.95,4.50541,0.571304,0.535425,0.535425
0.955,4.50806,0.556445,0.527404,0.527404
0.96,4.51068,0.54156,0.519493,0.519493
0.965,4.51326,0.52665,0.511692,0.511692
0.97,4.5158,0.511717,0.503999,0.503999
0.975,4.5183,0.496759,0.496414,0.496414
0.98,4.52076,0.481779,0.488934,0.488934
0.985,4.52319,0.466777,0.48156,0.48156
0.99,4.52558,0.451753,0.474289,0.474289
0.995,4.52793,0.436708,0.467122,0.467122
1,4.53025,0.421642,0.460055,0.460055
1.005,4.53253,0.406556,0.453089,0.453089
1.01,4.53478,0.39145,0.446222,0.446222
1.015,4.53699,0.376326,0.439453,0.439453
1.02,4.53917,0.361182,0.432781,0.432781
1.025,4.54132,0.346021,0.426204,0.426204
1.03,4.54344,0.330842,0.419722,0.419722
1.035,4.54552,0.315646,0.413334,0.413334
1.04,4.54757,0.300434,0.407037,0.407037
1.045,4.54959,0.285205,0.400832,0.400832
1.05,4.55158,0.26996,0.394717,0.394717
1.055,4.55354,0.2547,0.388691,0.388691
1.06,4.55547,0.239424,0.382752,0.382752
1.065,4.55736,0.224135,0.3769,0.3769
1.07,4.55923,0.208831,0.371133,0.371133
1.075,4.56108,0.193513,0.365451,0.365451
1.08,4.56289,0.178181,0.359853,0.359853
1.085,4.56467,0.162837,0.354337,0.354337
1.09,4.56643,0.147479,0.348901,0.348901
1.095,4.56816,0.132109,0.343547,0.343547
1.1,4.56987,0.116728,0.338271,0.338271
1.105,4.57155,0.101334,0.333073,0.333073
1.11,4.5732,0.0859287,0.327952,0.327952
1.115,4.57483,0.0705124,0.322908,0.322908
1.12,4.57643,0.0550852,0.317938,0.317938
1.125,4.57801,0.0396475,0.313042,0.313042
1.13,4.57956,0.0241994,0.308219,0.308219
1.135,4.58109,0.0087413,0.303469,0.303469
